Station,ISO_Timestamp,Excel_Timestamp,Temperature (F),Dew Point (F),Wind Direction (°),Wind Speed (km/h),Barometric Pressure (Pa),Visibility (m),Humidity (%),maxTemperatureLast24Hours (%),minTemperatureLast24Hours (%),precipitationLastHour (%),windChill (%),heatIndex (%),Cloud Layers,Text Description,Time Created
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T16:15:00+00:00,46145.677083333336,60.26,31.1,270,9.36,102030,16090,33.09473980147,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098162+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T15:55:00+00:00,46145.663194444445,60.26,32.18,340,9.36,102030,16090,34.569005105007,,,,,,,,2026-05-03T16:57:07.098300+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T15:35:00+00:00,46145.649305555555,58.64,30.74,10,5.4,102070,16090,34.55617984752,,,,,,,,2026-05-03T16:57:07.098341+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T15:15:00+00:00,46145.635416666664,58.1,30.38,260,7.56,102070,16090,34.72080178259,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098368+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T14:55:00+00:00,46145.62152777778,57.56,29.66,310,11.16,102070,16090,34.379638494767,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098393+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T14:35:00+00:00,46145.60763888889,56.84,30.02,330,9.36,102070,16090,35.803524476688,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098414+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T14:15:00+00:00,46145.59375,56.48,30.38,340,12.96,102070,16090,36.806240930952,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098436+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T13:55:00+00:00,46145.57986111111,54.86,32.0,340,12.96,102030,16090,41.675608166276,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098460+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T13:35:00+00:00,46145.56597222222,54.5,33.8,360,12.96,102030,16090,45.387969603443,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098481+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T13:15:00+00:00,46145.552083333336,53.42,35.24,360,11.16,102030,16090,50.001401096942,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098502+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T12:55:00+00:00,46145.538194444445,51.98,35.96,350,7.56,102030,16090,54.243248379225,,,,,,,,2026-05-03T16:57:07.098535+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T12:35:00+00:00,46145.524305555555,50.18,36.68,360,7.56,102030,16090,59.650712419396,,,,,,,,2026-05-03T16:57:07.098557+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T12:15:00+00:00,46145.510416666664,47.84,37.22,0,0,102030,16090,66.49508585373,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098577+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T11:55:00+00:00,46145.49652777778,44.06,38.48,0,0,102000,16090,80.607038493203,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098599+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T11:35:00+00:00,46145.48263888889,40.28,37.4,0,0,102000,16090,89.360942298342,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098619+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T11:15:00+00:00,46145.46875,39.2,35.96,0,0,101970,16090,88.049725942938,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098641+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T10:55:00+00:00,46145.45486111111,37.76,35.6,0,0,101930,16090,91.833707683289,,,,,,,,2026-05-03T16:57:07.098661+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T10:35:00+00:00,46145.44097222222,35.96,33.8,0,0,101900,16090,91.769640596099,,,,,,,,2026-05-03T16:57:07.098681+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T10:15:00+00:00,46145.427083333336,35.6,33.8,260,5.4,101900,16090,93.0873117058,,,,0.5258200831016666,,CLR at Nonem,Clear,2026-05-03T16:57:07.098701+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T09:55:00+00:00,46145.413194444445,39.74,34.88,0,0,101860,16090,82.601794100794,,,,,,,,2026-05-03T16:57:07.098724+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T09:35:00+00:00,46145.399305555555,39.74,35.6,0,0,101830,16090,84.99683717175,,,,,,,,2026-05-03T16:57:07.098743+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T09:15:00+00:00,46145.385416666664,39.38,35.24,360,5.4,101800,16090,84.974363332713,,,,2.9205888979044445,,CLR at Nonem,Clear,2026-05-03T16:57:07.098764+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T08:55:00+00:00,46145.37152777778,40.82,34.16,0,0,101800,16090,76.972266387946,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098785+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T08:35:00+00:00,46145.35763888889,41.9,35.06,0,0,101760,16090,76.521233432131,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098806+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T08:15:00+00:00,46145.34375,39.56,36.14,0,0,101760,16090,87.443654295711,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098826+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T07:55:00+00:00,46145.32986111111,40.64,34.52,0,0,101760,16090,78.630993856555,,,,,,,,2026-05-03T16:57:07.098845+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T07:35:00+00:00,46145.31597222222,39.02,34.88,240,7.56,101730,16090,84.951840572729,,,,1.9813261382611111,,,,2026-05-03T16:57:07.098864+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T07:15:00+00:00,46145.302083333336,39.92,34.88,10,7.56,101660,16090,82.025673839863,,,,2.56585870394,,CLR at Nonem,Clear,2026-05-03T16:57:07.098885+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T06:55:00+00:00,46145.288194444445,37.04,35.78,360,9.36,101660,16090,95.146234482948,,,,0.2027184125,,,,2026-05-03T16:57:07.098907+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T06:35:00+00:00,46145.274305555555,37.4,35.78,0,0,101660,16090,93.808104733973,,,,,,,,2026-05-03T16:57:07.098928+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T06:15:00+00:00,46145.260416666664,38.660000000000004,35.96,0,0,101660,16090,89.92573680015,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098947+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T05:55:00+00:00,46145.24652777778,40.46,37.76,0,0,101660,16090,90.002935892108,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098969+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T05:35:00+00:00,46145.23263888889,40.46,37.76,0,0,101660,16090,90.002935892108,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.098988+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T05:15:00+00:00,46145.21875,40.1,37.58,0,0,101660,16090,90.626326723305,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.099009+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T04:55:00+00:00,46145.20486111111,41.9,38.12,0,0,101660,16090,86.34104210122,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.099029+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T04:35:00+00:00,46145.19097222222,42.08,37.58,0,0,101630,16090,83.947202243283,,,,,,,,2026-05-03T16:57:07.099048+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T04:15:00+00:00,46145.177083333336,43.519999999999996,38.839999999999996,0,0,101630,16090,83.453270058925,,,,,,,,2026-05-03T16:57:07.099067+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T03:55:00+00:00,46145.163194444445,42.980000000000004,38.48,0,0,101590,16090,84.006422036591,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.099089+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T03:35:00+00:00,46145.149305555555,44.42,37.58,0,0,101590,16090,76.752099407485,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.099111+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T03:15:00+00:00,46145.135416666664,44.96,37.94,0,0,101590,16090,76.261148548036,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.099461+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T02:55:00+00:00,46145.12152777778,49.28,39.2,0,0,101560,16090,68.089389695685,,,,,,SCT at 3350m,Partly Cloudy,2026-05-03T16:57:07.099485+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T02:35:00+00:00,46145.10763888889,50.0,41.72,360,5.4,101560,16090,73.092844664432,,,,,,,,2026-05-03T16:57:07.099503+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T02:15:00+00:00,46145.09375,53.24,36.86,10,5.4,101520,16090,53.662781550417,,,,,,,,2026-05-03T16:57:07.099520+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T01:55:00+00:00,46145.07986111111,52.52,42.08,0,0,101520,16090,67.522054641315,,,,,,BKN at 3050m,Mostly Cloudy,2026-05-03T16:57:07.099537+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T01:35:00+00:00,46145.06597222222,51.26,43.7,10,5.4,101460,16090,75.266387947681,,,,,,OVC at 3350m,Cloudy,2026-05-03T16:57:07.099556+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T01:15:00+00:00,46145.052083333336,52.879999999999995,44.239999999999995,0,0,101420,16090,72.383544615293,,,,,,OVC at 3050m,Cloudy,2026-05-03T16:57:07.099574+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T00:55:00+00:00,46145.038194444445,52.52,43.34,0,0,101420,16090,70.868105485895,,,,,,,,2026-05-03T16:57:07.099592+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T00:35:00+00:00,46145.024305555555,53.78,43.16,0,0,101390,16090,67.204378285511,,,,,,,,2026-05-03T16:57:07.099609+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-03T00:15:00+00:00,46145.010416666664,53.96,41.36,0,0,101360,16090,62.297851630867,,,,,,,,2026-05-03T16:57:07.099625+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T23:55:00+00:00,46144.99652777778,55.58,41.9,0,0,101290,16090,59.966532238388,,,,,,BKN at 3050m,Mostly Cloudy,2026-05-03T16:57:07.099642+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T23:35:00+00:00,46144.98263888889,57.92,38.3,180,5.4,101250,16090,47.919491872187,,,,,,,,2026-05-03T16:57:07.099658+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T23:15:00+00:00,46144.96875,58.459999999999994,39.56,200,5.4,101220,16090,49.370223787252,,,,,,,,2026-05-03T16:57:07.099675+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T22:55:00+00:00,46144.95486111111,59.9,37.4,0,0,101220,16090,43.095543399789,,,,,,,,2026-05-03T16:57:07.099695+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T22:35:00+00:00,46144.94097222222,61.16,36.5,180,5.4,101190,16090,39.774621859253,,,,,,,,2026-05-03T16:57:07.099712+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T22:15:00+00:00,46144.927083333336,62.6,36.86,130,5.4,101190,16090,38.343821166619,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.099730+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T21:55:00+00:00,46144.913194444445,63.14,36.14,0,0,101190,16090,36.568648215388,,,,,,,,2026-05-03T16:57:07.099747+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T21:35:00+00:00,46144.899305555555,63.5,36.5,100,7.56,101150,16090,36.626875181015,,,,,,,,2026-05-03T16:57:07.099764+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T21:15:00+00:00,46144.885416666664,62.78,35.06,250,7.56,101150,16090,35.482413264485,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.099781+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T20:55:00+00:00,46144.87152777778,62.42,34.34,0,0,101190,16090,34.919791884158,,,,,,,,2026-05-03T16:57:07.099799+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T20:35:00+00:00,46144.85763888889,62.78,34.52,0,0,101150,16090,34.728349790776,,,,,,,,2026-05-03T16:57:07.099816+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T20:15:00+00:00,46144.84375,62.24,33.98,0,0,101190,16090,34.640869190647,,,,,,SCT at 2440m,Partly Cloudy,2026-05-03T16:57:07.099833+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T19:55:00+00:00,46144.82986111111,61.7,33.62,0,0,101220,16090,34.803028108153,,,,,,,,2026-05-03T16:57:07.099849+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T19:35:00+00:00,46144.81597222222,60.26,34.34,0,0,101250,16090,37.693270812418,,,,,,,,2026-05-03T16:57:07.099865+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T19:15:00+00:00,46144.802083333336,59.540000000000006,33.44,0,0,101250,16090,37.306481858595,,,,,,BKN at 1830m; OVC at 2740m,Cloudy,2026-05-03T16:57:07.099884+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T18:55:00+00:00,46144.788194444445,60.08,34.34,60,9.36,101290,16090,37.93531917093,,,,,,,,2026-05-03T16:57:07.099902+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T18:35:00+00:00,46144.774305555555,58.1,33.8,0,0,101290,16090,39.84792652143,,,,,,,,2026-05-03T16:57:07.099932+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T18:15:00+00:00,46144.760416666664,57.379999999999995,35.24,60,9.36,101320,16090,43.306223896121,,,,,,OVC at 1830m,Cloudy,2026-05-03T16:57:07.099949+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T17:55:00+00:00,46144.74652777778,58.1,35.06,50,7.56,101320,16090,41.899523080698,,,,,,OVC at 1830m,Cloudy,2026-05-03T16:57:07.099968+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T17:35:00+00:00,46144.73263888889,56.84,35.42,30,7.56,101360,16090,44.473655250869,,,,,,BKN at 1520m; OVC at 2440m,Cloudy,2026-05-03T16:57:07.099986+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T17:15:00+00:00,46144.71875,56.3,33.98,60,14.76,101360,16090,42.823826759398,,,,,,OVC at 1520m,Cloudy,2026-05-03T16:57:07.100004+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T16:55:00+00:00,46144.70486111111,56.120000000000005,33.98,40,18.36,101390,16090,43.103574230734,,,,,,OVC at 1520m,Cloudy,2026-05-03T16:57:07.100021+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T16:35:00+00:00,46144.69097222222,55.94,34.16,40,11.16,101420,16090,43.698161332528,,,,,,OVC at 1520m,Cloudy,2026-05-03T16:57:07.100041+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T16:10:00+00:00,46144.67361111111,55.58,35.78,40,14.76,101420,16090,47.216527952424,,,,,,OVC at 1520m,Cloudy,2026-05-03T16:57:07.100059+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T15:55:00+00:00,46144.663194444445,55.76,34.52,50,11.16,101460,16090,44.619783299911,,,,,,OVC at 1520m,Cloudy,2026-05-03T16:57:07.100076+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T15:35:00+00:00,46144.649305555555,54.86,37.22,40,18.36,101420,16090,51.302582954016,,,,,,OVC at 1520m,Cloudy,2026-05-03T16:57:07.100094+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T15:15:00+00:00,46144.635416666664,54.5,39.92,20,12.96,101460,16090,57.767979116854,,,,,,OVC at 1520m,Cloudy,2026-05-03T16:57:07.100111+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T14:55:00+00:00,46144.62152777778,54.68,40.64,40,12.96,101460,16090,59.016517510041,,,,,,OVC at 1520m,Cloudy,2026-05-03T16:57:07.100129+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T14:35:00+00:00,46144.60763888889,54.68,41.36,50,9.36,101420,16090,60.683222955576,,,,,,OVC at 1520m,Cloudy,2026-05-03T16:57:07.100146+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T14:15:00+00:00,46144.59375,54.86,41.9,50,11.16,101390,16090,61.555781730913,,,,,,BKN at 1460m; OVC at 1830m,Cloudy,2026-05-03T16:57:07.100164+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T13:55:00+00:00,46144.57986111111,54.68,42.260000000000005,30,5.4,101420,16090,62.825037999524,,,,,,OVC at 1460m,Cloudy,2026-05-03T16:57:07.100181+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T13:35:00+00:00,46144.56597222222,54.5,42.08,40,7.56,101420,16090,62.801865331243,,,,,,OVC at 1400m,Cloudy,2026-05-03T16:57:07.100230+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T13:15:00+00:00,46144.552083333336,54.32,42.8,40,5.4,101390,16090,64.989014189939,,,,,,OVC at 1400m,Cloudy,2026-05-03T16:57:07.100249+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T12:55:00+00:00,46144.538194444445,53.96,42.44,40,9.36,101390,16090,64.944555873481,,,,,,,,2026-05-03T16:57:07.100267+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T12:35:00+00:00,46144.524305555555,53.78,42.620000000000005,30,9.36,101360,16090,65.826776962302,,,,,,,,2026-05-03T16:57:07.100284+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T12:15:00+00:00,46144.510416666664,53.96,42.620000000000005,40,11.16,101360,16090,65.395203609238,,,,,,OVC at 1340m,Cloudy,2026-05-03T16:57:07.100301+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T11:55:00+00:00,46144.49652777778,53.78,43.34,40,11.16,101290,16090,67.669206380478,,,,,,BKN at 1280m; OVC at 1520m,Cloudy,2026-05-03T16:57:07.100320+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T11:35:00+00:00,46144.48263888889,53.96,43.7,40,14.76,101360,16090,68.157589266507,,,,,,BKN at 1280m; OVC at 1520m,Cloudy,2026-05-03T16:57:07.100338+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T11:15:00+00:00,46144.46875,54.32,44.239999999999995,40,11.16,101320,16090,68.668781226241,,,,,,OVC at 1220m,Cloudy,2026-05-03T16:57:07.100357+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T10:55:00+00:00,46144.45486111111,53.96,45.14,30,9.36,101250,16090,72.000913428728,,,,,,,,2026-05-03T16:57:07.100374+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T10:35:00+00:00,46144.44097222222,53.78,45.86,60,11.16,101250,16090,74.481700835233,,,,,,,,2026-05-03T16:57:07.100391+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T10:15:00+00:00,46144.427083333336,53.96,46.94,40,7.56,101290,16090,77.073390888716,,,,,,OVC at 980m,Cloudy,2026-05-03T16:57:07.100408+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T09:55:00+00:00,46144.413194444445,53.78,49.64,50,11.16,101250,16090,85.836566400459,,,,,,,,2026-05-03T16:57:07.100425+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T09:35:00+00:00,46144.399305555555,53.24,51.26,60,7.56,101290,16090,92.97225804924,,,,,,,,2026-05-03T16:57:07.100441+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T09:15:00+00:00,46144.385416666664,52.879999999999995,51.08,50,5.4,101320,16090,93.582877872293,,,,,,SCT at 670m; SCT at 1190m; OVC at 2130m,Light Rain,2026-05-03T16:57:07.100460+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T08:55:00+00:00,46144.37152777778,52.879999999999995,50.72,0,0,101360,16090,92.343939837859,,,,,,,,2026-05-03T16:57:07.100478+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T08:35:00+00:00,46144.35763888889,52.52,50.54,0,0,101320,16090,92.950896392894,,,,,,,,2026-05-03T16:57:07.100495+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T08:15:00+00:00,46144.34375,52.879999999999995,50.72,0,0,101290,16090,92.343939837859,,,,,,SCT at 2130m; BKN at 2740m,Light Drizzle,2026-05-03T16:57:07.100513+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T07:55:00+00:00,46144.32986111111,53.42,50.36,0,0,101290,16090,89.333477970903,,,,,,OVC at 2740m,Cloudy,2026-05-03T16:57:07.100530+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T07:35:00+00:00,46144.31597222222,54.32,50.36,0,0,101250,16090,86.443183640973,,,,,,OVC at 2740m,Cloudy,2026-05-03T16:57:07.100547+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T07:15:00+00:00,46144.302083333336,53.6,50.54,0,0,101220,16090,89.341404991432,,,,,,OVC at 3050m,Cloudy,2026-05-03T16:57:07.100565+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T06:55:00+00:00,46144.288194444445,52.7,50.36,0,0,101190,16090,91.72367282807,,,,,,,,2026-05-03T16:57:07.100581+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T06:35:00+00:00,46144.274305555555,51.98,50.36,0,0,101190,16090,94.185647528651,,,,,,,,2026-05-03T16:57:07.100597+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T06:15:00+00:00,46144.260416666664,52.34,50.0,0,0,101220,16090,91.711174716771,,,,,,BKN at 3660m,Mostly Cloudy,2026-05-03T16:57:07.100614+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T05:55:00+00:00,46144.24652777778,52.52,50.18,0,0,101250,16090,91.717427253007,,,,,,,,2026-05-03T16:57:07.100631+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T05:35:00+00:00,46144.23263888889,52.16,49.64,0,0,101250,16090,91.092730377446,,,,,,,,2026-05-03T16:57:07.100648+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T05:15:00+00:00,46144.21875,52.7,49.64,0,0,101250,16090,89.301683161625,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.100665+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T04:55:00+00:00,46144.20486111111,52.16,49.46,0,0,101290,16090,90.48415264994,,,,,,,,2026-05-03T16:57:07.100681+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T04:35:00+00:00,46144.19097222222,52.879999999999995,49.46,0,0,101290,16090,88.120767830185,,,,,,,,2026-05-03T16:57:07.100698+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T04:15:00+00:00,46144.177083333336,52.7,49.64,0,0,101290,16090,89.301683161625,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.100715+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T03:55:00+00:00,46144.163194444445,52.52,49.46,0,0,101320,16090,89.293712715748,,,,,,,,2026-05-03T16:57:07.100732+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T03:35:00+00:00,46144.149305555555,53.78,49.28,0,0,101320,16090,84.693024118328,,,,,,,,2026-05-03T16:57:07.100748+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T03:15:00+00:00,46144.135416666664,54.32,49.64,0,0,101320,16090,84.160626793239,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.100765+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T02:50:00+00:00,46144.118055555555,54.68,50.0,0,0,101360,16090,84.183445932451,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.100782+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T02:35:00+00:00,46144.10763888889,54.32,49.28,0,0,101360,16090,83.039411916357,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.100799+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T02:15:00+00:00,46144.09375,54.68,49.46,0,0,101360,16090,82.508751255752,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.100816+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T01:55:00+00:00,46144.07986111111,55.4,49.1,0,0,101360,16090,79.305244365405,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.100833+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T01:35:00+00:00,46144.06597222222,56.66,49.1,0,0,101320,16090,75.769034368791,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.100850+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T01:15:00+00:00,46144.052083333336,57.2,48.56,0,0,101320,16090,72.823814063061,,,,,,CLR at Nonem,Clear,2026-05-03T16:57:07.100867+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T00:55:00+00:00,46144.038194444445,58.1,48.56,0,0,101320,16090,70.505361537964,,,,,,,,2026-05-03T16:57:07.100884+00:00
"Lincolnton, Lincolnton-Lincoln County Regional Airport",2026-05-02T00:35:00+00:00,46144.024305555555,59.18,48.2,0,0,101290,16090,66.923710548553,,,,,,,,2026-05-03T16:57:07.100901+00:00
